Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 5;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Feb_25_0900;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
15.0 7.0 -1.0 0.53
-45.0 -3.0 -1.0 0.36
10.0 -1.0 -1.0 0.33
30.0 -13.0 -1.0 0.34
-35.0 11.0 1.0 0.31
10.0 1.0 -1.0 0.40
-15.0 -6.0 -1.0 0.40
25.0 11.0 1.0 0.31
10.0 -13.0 -1.0 0.29
0.0 4.0 1.0 0.28
-15.0 1.0 1.0 0.38
-30.0 1.0 1.0 0.36
35.0 -9.0 -1.0 0.34
40.0 1.0 -1.0 0.44
20.0 -13.0 -1.0 0.25
-15.0 -3.0 1.0 0.38
-10.0 11.0 1.0 0.37
-20.0 7.0 1.0 0.31
40.0 -3.0 -1.0 0.34
-30.0 7.0 1.0 0.30
-25.0 -13.0 -1.0 0.31
-25.0 -1.0 -1.0 0.40
-5.0 -1.0 -1.0 0.32
15.0 -13.0 -1.0 0.32
-40.0 -6.0 -1.0 0.38
40.0 -13.0 -1.0 0.31
5.0 -3.0 -1.0 0.33
25.0 4.0 1.0 0.33
-25.0 -3.0 -1.0 0.50
10.0 4.0 1.0 0.34
15.0 -6.0 -1.0 0.42
-35.0 -6.0 -1.0 0.30
-45.0 7.0 1.0 0.43
15.0 -9.0 -1.0 0.37
0.0 -13.0 -1.0 0.32
-20.0 -6.0 1.0 0.38
-30.0 4.0 -1.0 0.32
-10.0 -3.0 -1.0 0.45
-25.0 7.0 1.0 0.28
25.0 -13.0 -1.0 0.40
25.0 -6.0 -1.0 0.47
5.0 11.0 1.0 0.41
-25.0 -6.0 -1.0 0.36
-35.0 4.0 -1.0 0.44
15.0 -1.0 -1.0 0.42
-40.0 1.0 1.0 0.39
40.0 7.0 1.0 0.36
35.0 -13.0 -1.0 0.39
15.0 11.0 1.0 0.38
-20.0 1.0 1.0 0.40
