Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 16;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Apr_13_1337;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
0.0 -7.0 -1.0 0.81
-40.0 -10.0 -1.0 0.97
30.0 0.0 1.0 1.10
-35.0 -5.0 -1.0 1.17
-15.0 7.0 1.0 0.85
35.0 7.0 1.0 0.49
5.0 0.0 1.0 0.56
-40.0 3.0 1.0 0.59
-10.0 -10.0 -1.0 0.67
15.0 -17.0 -1.0 0.45
-35.0 3.0 1.0 0.61
-5.0 -5.0 -1.0 0.60
-5.0 -17.0 -1.0 0.41
25.0 -3.0 1.0 0.97
35.0 -13.0 -1.0 0.48
10.0 0.0 1.0 0.62
5.0 -5.0 -1.0 0.76
5.0 -13.0 -1.0 0.50
20.0 -10.0 -1.0 0.41
-35.0 -7.0 -1.0 0.61
-40.0 -10.0 -1.0 0.55
-25.0 -7.0 -1.0 0.65
-20.0 -3.0 1.0 0.93
30.0 -3.0 1.0 0.67
40.0 7.0 1.0 0.49
40.0 0.0 1.0 0.71
-40.0 -7.0 -1.0 0.89
30.0 -7.0 -1.0 0.69
-15.0 -5.0 1.0 0.79
25.0 -10.0 -1.0 0.66
-35.0 -3.0 1.0 0.70
30.0 0.0 1.0 0.63
-10.0 -3.0 1.0 0.85
-30.0 -10.0 -1.0 0.93
40.0 -3.0 1.0 0.68
10.0 -7.0 -1.0 0.66
-15.0 -17.0 -1.0 0.67
40.0 -17.0 -1.0 0.64
35.0 -3.0 1.0 0.69
25.0 3.0 1.0 0.60
-20.0 -10.0 1.0 0.71
-15.0 7.0 1.0 0.63
10.0 -3.0 1.0 1.56
30.0 -17.0 -1.0 0.70
-45.0 0.0 1.0 0.68
-35.0 0.0 1.0 0.81
-20.0 -7.0 1.0 0.72
0.0 -10.0 -1.0 0.65
5.0 7.0 1.0 0.70
40.0 -13.0 -1.0 0.74
-15.0 0.0 1.0 0.64
-20.0 -13.0 -1.0 0.72
5.0 -7.0 -1.0 0.97
-45.0 -5.0 -1.0 0.74
-25.0 -17.0 -1.0 0.81
15.0 -10.0 -1.0 0.91
