Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 7;
nRepetitions = 10;
condition = frame;
location = v;
expDate = 2016_Mar_29_0908;
viewDistance_cm = 57;
monitorSize_cm = [122, 67.5];
screenNr = 0;
monitorResolution = [1920, 1080];
monitorFrameRate = 60;

frameOri rodOri response reactionTime 
25.0 -12.0 -1.0 0.64
35.0 -2.0 1.0 1.00
-10.0 -8.0 -1.0 0.91
10.0 8.0 1.0 0.58
30.0 8.0 1.0 0.82
40.0 2.0 1.0 0.51
-5.0 2.0 1.0 0.59
-25.0 8.0 1.0 0.53
-25.0 -12.0 -1.0 0.61
0.0 -5.0 -1.0 0.60
20.0 0.0 -1.0 0.56
-30.0 -2.0 -1.0 0.51
-40.0 5.0 1.0 0.67
-10.0 2.0 1.0 0.63
-15.0 -8.0 -1.0 0.79
35.0 5.0 1.0 0.46
-20.0 -8.0 -1.0 0.77
-35.0 2.0 -1.0 0.47
30.0 12.0 1.0 0.59
-30.0 0.0 1.0 0.51
0.0 5.0 1.0 0.56
40.0 -5.0 -1.0 0.69
-30.0 -5.0 -1.0 0.53
-10.0 -5.0 -1.0 0.58
-15.0 -12.0 -1.0 0.62
-30.0 8.0 1.0 0.53
25.0 8.0 1.0 0.50
15.0 2.0 1.0 0.51
-35.0 -2.0 1.0 0.86
-45.0 -12.0 -1.0 0.63
30.0 -5.0 -1.0 0.66
25.0 -5.0 -1.0 0.71
5.0 8.0 1.0 0.55
0.0 -12.0 -1.0 0.68
-25.0 5.0 1.0 0.53
-15.0 -5.0 1.0 1.07
15.0 8.0 1.0 0.75
0.0 -2.0 -1.0 1.41
0.0 2.0 1.0 0.70
-15.0 2.0 1.0 0.72
-40.0 12.0 1.0 0.52
25.0 -2.0 -1.0 0.69
40.0 12.0 1.0 0.51
-40.0 8.0 1.0 0.52
-45.0 -2.0 -1.0 1.68
-15.0 5.0 1.0 0.52
10.0 -12.0 -1.0 0.57
20.0 5.0 1.0 0.55
-20.0 -2.0 1.0 0.56
-5.0 -8.0 -1.0 0.65
0.0 8.0 1.0 0.61
-20.0 2.0 1.0 0.52
35.0 8.0 1.0 0.69
40.0 -8.0 -1.0 0.58
25.0 0.0 -1.0 0.52
10.0 12.0 1.0 0.50
35.0 12.0 1.0 0.49
20.0 -5.0 1.0 0.45
-5.0 12.0 1.0 0.60
15.0 -12.0 -1.0 0.56
15.0 -8.0 -1.0 0.53
-10.0 -2.0 1.0 0.82
-35.0 -8.0 -1.0 0.50
40.0 -2.0 -1.0 2.43
-40.0 2.0 1.0 0.52
5.0 -5.0 -1.0 0.78
10.0 -5.0 -1.0 0.65
25.0 5.0 -1.0 1.05
-30.0 12.0 1.0 0.72
15.0 5.0 1.0 0.77
-10.0 12.0 1.0 0.60
30.0 2.0 1.0 0.58
-10.0 5.0 1.0 0.58
10.0 -8.0 -1.0 0.71
5.0 2.0 -1.0 0.63
-25.0 12.0 1.0 0.52
20.0 -12.0 -1.0 0.63
35.0 -12.0 -1.0 0.49
-10.0 0.0 1.0 0.51
20.0 -8.0 -1.0 0.54
-5.0 -5.0 -1.0 0.72
-20.0 5.0 1.0 0.72
15.0 12.0 1.0 0.50
35.0 0.0 -1.0 0.61
25.0 -8.0 -1.0 0.49
-15.0 8.0 1.0 0.50
-40.0 -8.0 -1.0 0.45
5.0 -8.0 -1.0 0.55
10.0 -2.0 -1.0 0.52
-5.0 5.0 1.0 0.65
35.0 -5.0 -1.0 0.53
5.0 -12.0 -1.0 0.56
-40.0 -5.0 -1.0 0.63
5.0 5.0 1.0 0.60
25.0 2.0 -1.0 0.51
-25.0 0.0 -1.0 0.62
-45.0 -8.0 -1.0 0.54
-20.0 -12.0 -1.0 0.55
0.0 -8.0 -1.0 0.51
-45.0 0.0 -1.0 0.84
-35.0 -5.0 -1.0 0.64
-20.0 12.0 1.0 0.63
-5.0 -2.0 -1.0 0.83
35.0 -8.0 -1.0 0.74
-25.0 -8.0 -1.0 0.47
-10.0 -12.0 -1.0 0.57
30.0 -8.0 -1.0 0.50
-15.0 0.0 -1.0 0.54
-40.0 -12.0 -1.0 0.63
10.0 2.0 -1.0 0.80
-45.0 2.0 1.0 1.93
30.0 5.0 1.0 0.76
-45.0 5.0 1.0 0.48
15.0 0.0 1.0 0.55
20.0 -2.0 -1.0 0.57
-5.0 -12.0 -1.0 0.57
-30.0 -12.0 -1.0 0.66
-45.0 8.0 1.0 0.64
-30.0 5.0 1.0 0.73
-40.0 0.0 1.0 0.89
20.0 12.0 1.0 0.66
5.0 0.0 -1.0 1.28
40.0 8.0 1.0 0.60
40.0 -12.0 -1.0 0.62
-5.0 0.0 1.0 0.53
-20.0 8.0 1.0 0.55
10.0 5.0 -1.0 1.67
30.0 0.0 -1.0 1.17
-45.0 -5.0 -1.0 1.15
-35.0 12.0 1.0 0.69
